utc,local,subdir,bytes,files,bytes_delta,files_delta,mb_per_s,files_per_s
2026-09-04T01:37:46Z,2026-09-03T18:37:46,.,415634322,5302,0,0,0,0
2026-09-04T01:38:48Z,2026-09-03T18:38:48,src,415620398,5294,0,0,0,0
2026-09-04T01:38:48Z,2026-09-03T18:38:48,.,415634322,5302,0,0,0,0
2026-09-04T01:39:50Z,2026-09-03T18:39:50,src,415620398,5294,0,0,0,0
2026-09-04T01:39:50Z,2026-09-03T18:39:50,.,415634322,5302,0,0,0,0
2026-09-04T01:40:51Z,2026-09-03T18:40:51,src,415620398,5294,0,0,0,0
2026-09-04T01:40:51Z,2026-09-03T18:40:51,.,415634322,5302,0,0,0,0
2026-09-04T01:41:53Z,2026-09-03T18:41:53,src,415620398,5294,0,0,0,0
2026-09-04T01:41:53Z,2026-09-03T18:41:53,.,415634322,5302,0,0,0,0
2026-09-04T01:42:54Z,2026-09-03T18:42:54,src,415620398,5294,0,0,0,0
2026-09-04T01:42:54Z,2026-09-03T18:42:54,.,415634322,5302,0,0,0,0
2026-09-04T01:43:56Z,2026-09-03T18:43:56,src,415620398,5294,0,0,0,0
2026-09-04T01:43:56Z,2026-09-03T18:43:56,.,415634322,5302,0,0,0,0
2026-09-04T01:44:58Z,2026-09-03T18:44:58,src,415620398,5294,0,0,0,0
2026-09-04T01:44:58Z,2026-09-03T18:44:58,.,415634322,5302,0,0,0,0
2026-09-04T01:46:00Z,2026-09-03T18:46:00,src,415620398,5294,0,0,0,0
2026-09-04T01:46:00Z,2026-09-03T18:46:00,.,415634322,5302,0,0,0,0
2026-09-04T01:47:01Z,2026-09-03T18:47:01,src,415620398,5294,0,0,0,0
2026-09-04T01:47:01Z,2026-09-03T18:47:01,.,415634322,5302,0,0,0,0
2026-09-04T01:48:03Z,2026-09-03T18:48:03,src,415620398,5294,0,0,0,0
2026-09-04T01:48:03Z,2026-09-03T18:48:03,.,415634322,5302,0,0,0,0
2026-09-04T01:49:04Z,2026-09-03T18:49:04,src,415620398,5294,0,0,0,0
2026-09-04T01:49:04Z,2026-09-03T18:49:04,.,415634322,5302,0,0,0,0
2026-09-04T01:50:06Z,2026-09-03T18:50:06,src,415620398,5294,0,0,0,0
2026-09-04T01:50:06Z,2026-09-03T18:50:06,.,415634322,5302,0,0,0,0
2026-09-04T01:51:08Z,2026-09-03T18:51:08,src,415620398,5294,0,0,0,0
2026-09-04T01:51:08Z,2026-09-03T18:51:08,.,415634322,5302,0,0,0,0
2026-09-04T01:52:09Z,2026-09-03T18:52:09,src,415620398,5294,0,0,0,0
2026-09-04T01:52:09Z,2026-09-03T18:52:09,.,415634322,5302,0,0,0,0
2026-09-04T01:53:11Z,2026-09-03T18:53:11,src,415620398,5294,0,0,0,0
2026-09-04T01:53:11Z,2026-09-03T18:53:11,.,415634322,5302,0,0,0,0
2026-09-04T01:54:13Z,2026-09-03T18:54:13,src,415620398,5294,0,0,0,0
2026-09-04T01:54:13Z,2026-09-03T18:54:13,.,415634322,5302,0,0,0,0
2026-09-04T01:55:14Z,2026-09-03T18:55:14,src,415620398,5294,0,0,0,0
2026-09-04T01:55:14Z,2026-09-03T18:55:14,.,415634322,5302,0,0,0,0
2026-09-04T01:56:16Z,2026-09-03T18:56:16,src,415620398,5294,0,0,0,0
2026-09-04T01:56:16Z,2026-09-03T18:56:16,.,415634322,5302,0,0,0,0
2026-09-04T01:57:17Z,2026-09-03T18:57:17,src,415620398,5294,0,0,0,0
2026-09-04T01:57:17Z,2026-09-03T18:57:17,.,415634322,5302,0,0,0,0
2026-09-04T01:58:19Z,2026-09-03T18:58:19,src,415620398,5294,0,0,0,0
2026-09-04T01:58:19Z,2026-09-03T18:58:19,.,415634322,5302,0,0,0,0
2026-09-04T01:59:21Z,2026-09-03T18:59:21,src,415620398,5294,0,0,0,0
2026-09-04T01:59:21Z,2026-09-03T18:59:21,.,415634322,5302,0,0,0,0
2026-09-04T02:00:22Z,2026-09-03T19:00:22,src,415620398,5294,0,0,0,0
2026-09-04T02:00:22Z,2026-09-03T19:00:22,.,415634322,5302,0,0,0,0
2026-09-04T02:01:24Z,2026-09-03T19:01:24,src,415620398,5294,0,0,0,0
2026-09-04T02:01:24Z,2026-09-03T19:01:24,.,415634322,5302,0,0,0,0
2026-09-04T02:02:26Z,2026-09-03T19:02:26,src,415620398,5294,0,0,0,0
2026-09-04T02:02:26Z,2026-09-03T19:02:26,.,415634322,5302,0,0,0,0
2026-09-04T02:03:27Z,2026-09-03T19:03:27,src,415620398,5294,0,0,0,0
2026-09-04T02:03:27Z,2026-09-03T19:03:27,.,415634322,5302,0,0,0,0
2026-09-04T02:04:29Z,2026-09-03T19:04:29,src,415620398,5294,0,0,0,0
2026-09-04T02:04:29Z,2026-09-03T19:04:29,.,415634322,5302,0,0,0,0
2026-09-04T02:05:31Z,2026-09-03T19:05:31,src,415620398,5294,0,0,0,0
2026-09-04T02:05:31Z,2026-09-03T19:05:31,.,415634322,5302,0,0,0,0
2026-09-04T02:06:32Z,2026-09-03T19:06:32,src,415620398,5294,0,0,0,0
2026-09-04T02:06:32Z,2026-09-03T19:06:32,.,415634322,5302,0,0,0,0
2026-09-04T02:07:34Z,2026-09-03T19:07:34,src,415620398,5294,0,0,0,0
2026-09-04T02:07:34Z,2026-09-03T19:07:34,.,415634322,5302,0,0,0,0
2026-09-04T02:08:36Z,2026-09-03T19:08:36,src,415620398,5294,0,0,0,0
2026-09-04T02:08:36Z,2026-09-03T19:08:36,.,415634322,5302,0,0,0,0
2026-09-04T02:09:37Z,2026-09-03T19:09:37,src,415620398,5294,0,0,0,0
2026-09-04T02:09:37Z,2026-09-03T19:09:37,.,415634322,5302,0,0,0,0
2026-09-04T02:10:39Z,2026-09-03T19:10:39,src,415620398,5294,0,0,0,0
2026-09-04T02:10:39Z,2026-09-03T19:10:39,.,415634322,5302,0,0,0,0
2026-09-04T02:11:41Z,2026-09-03T19:11:41,src,415620398,5294,0,0,0,0
2026-09-04T02:11:41Z,2026-09-03T19:11:41,.,415634322,5302,0,0,0,0
2026-09-04T02:12:42Z,2026-09-03T19:12:42,src,415620398,5294,0,0,0,0
